"Una volta vedevo, ma ora non ho occhi. Una volta pensavo, ma ora sono bianco e vuoto. Cosa sono?" ; teschio ; Shakespeare
"Ha mari senza acqua, spiagge senza sabbia, foreste senza vegetazione e città senza persone. Di cosa sto parlando?" ; mappa ; Isogonia
"Ci sono quattro sorelle che non si vogliono bene e quando una viene quell’altra se ne và. Cosa sono?" ; stagioni ; Pizza
"Che cosa ha radici che nessuno ha veduto mai. Più alta degli alberi è assai. Lassù fra le nuvole va, e non si muove mai di qua." ; montagna ; K2
"Questa cosa ogni cosa divora: uccelli, animali, la fauna e la flora. Uccide Re e città fa cadere in rovina, riduce le pietre in farina, intacca l'acciaio e il ferro usura. Trasforma le alte montagne in pianura." ; tempo ; Fugge
"E' leggero come una piuma, eppure nessun uomo, per quanto robusto, può trattenerlo per più di alcuni minuti. Cos'è?" ; respiro ; Asma
"Qual è quella cosa che cammina su quattro gambe la mattina, su due a mezzogiorno, e su tre gambe quando il sole è tramontato?" ; uomo ; Mammifero
"Pur non avendo né ali né gambe, può volare lontana e non può essere catturata. Cos'è?" ; voce ; Bocca
"È verde nelle montagne, nero nella piazze, e rosso nella case. Che cos'è?" ; carbone ; Fuoco
"La parte d'ogni uccello che mai è nel cielo, che può solcare oceani e rimanere asciutta. Cos'è?" ; ombra ; Nero
"Chi la costruisce non la usa, chi l'acquista non la vuole, chi la utilizza non l'apprezza. Che cos'è?" ; bara ; Legno
"Non si muove...eppure arriva ovunque. Cos’è?" ; strada ; Segnali
"E’ tuo ma lo usano quasi sempre gli altri… Che cos’è?" ; nome ; Identità
